RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,Bradley BealWSH,SG,39,35.7,31.8,11.2,22.9,48.8,2.2,6.5,33.3,7.3,8.1,90.2,5.1,4.6,1.3,0.4,3.3,3,0,23.82
2,Damian LillardPOR,PG,42,36.0,30.1,9.3,20.6,45.2,4.3,11.3,37.8,7.3,7.7,94.1,4.4,7.7,0.9,0.2,3.3,10,0,26.91
3,Joel EmbiidPHI,C,31,32.6,29.9,9.5,18.0,52.5,1.2,2.9,42.2,9.8,11.4,85.9,11.5,3.3,1.2,1.4,3.2,21,0,31.63
4,Giannis AntetokounmpoMIL,PF,40,34.2,29.0,10.6,18.8,56.2,1.2,3.9,29.9,6.8,10.0,67.9,11.7,6.4,1.2,1.3,3.7,30,7,29.31
5,Stephen CurryGS,PG,39,33.7,29.0,9.6,20.2,47.5,4.7,11.4,40.8,5.1,5.5,93.0,5.3,6.2,1.4,0.1,3.1,7,0,24.93
6,Luka DoncicDAL,PG,38,35.4,29.0,10.2,21.1,48.4,2.9,7.9,37.1,5.6,7.5,75.0,8.4,9.2,1.0,0.6,4.3,19,9,26.76
7,Zach LaVineCHI,SG,42,35.3,28.2,10.1,19.3,52.3,3.5,8.1,43.7,4.5,5.2,86.8,5.1,4.9,0.9,0.5,3.8,2,0,22.62
8,Kyrie IrvingBKN,PG,31,35.6,28.1,10.8,20.7,52.0,2.9,7.1,40.6,3.7,4.1,89.1,4.8,5.7,1.2,0.6,2.4,2,0,24.97
9,Nikola JokicDEN,C,43,35.9,27.1,10.6,18.6,57.1,1.6,3.7,42.7,4.3,5.0,86.9,11.3,8.6,1.6,0.6,3.1,39,12,31.96
10,Kawhi LeonardLAC,SF,36,34.5,25.9,9.4,18.3,51.2,2.0,5.1,39.3,5.2,5.9,87.3,6.3,4.9,1.7,0.5,1.9,5,0,26.72
11,Zion WilliamsonNO,PF,41,32.7,25.7,9.9,15.9,62.1,0.2,0.5,35.0,5.9,8.3,70.8,7.0,3.4,0.9,0.7,2.5,10,0,27.36
12,Trae YoungATL,PG,41,34.3,25.7,7.6,17.7,43.1,2.5,6.8,36.8,8.0,9.1,87.2,4.1,9.4,0.8,0.2,4.2,18,0,22.85
13,LeBron JamesLAL,SF,41,33.9,25.4,9.5,18.4,51.3,2.4,6.5,36.8,4.1,5.8,70.3,7.9,7.9,1.0,0.6,3.7,18,5,24.84
14,Donovan MitchellUTAH,SG,40,34.1,25.4,8.6,20.3,42.6,3.3,8.7,37.8,4.8,5.8,83.6,4.6,5.5,1.0,0.3,3.0,2,0,19.69
15,James HardenHOU/BKN,SG,38,38.0,25.3,8.0,17.3,46.3,2.9,8.0,35.9,6.4,7.4,86.5,7.9,11.2,1.3,0.7,4.2,29,11,24.38
16,Devin BookerPHX,SG,38,33.8,25.1,9.3,18.8,49.7,2.0,5.7,35.3,4.4,5.3,83.5,4.0,4.6,0.8,0.3,3.3,1,0,18.99
17,Jayson TatumBOS,SF,37,35.5,24.9,9.1,20.4,44.7,2.7,7.2,38.1,4.0,4.7,85.5,6.8,4.3,1.3,0.4,2.5,6,0,20.15
18,Jaylen BrownBOS,SG,40,34.2,24.7,9.3,19.2,48.6,2.5,6.5,38.8,3.5,4.7,75.4,5.6,3.9,1.3,0.6,2.8,5,0,20.58
19,Nikola VucevicORL,C,43,34.1,24.5,9.9,20.7,47.8,2.7,6.6,40.3,2.1,2.5,83.2,11.7,3.8,1.0,0.6,1.9,29,1,23.40
20,Brandon IngramNO,SF,43,34.3,24.2,8.6,18.0,47.9,2.4,6.3,38.1,4.5,5.1,88.2,5.1,4.7,0.7,0.7,2.4,4,0,20.64
21,Collin SextonCLE,PG,38,35.9,24.0,8.8,18.4,47.8,1.7,4.4,39.1,4.7,5.8,80.8,2.8,4.3,1.1,0.1,2.8,1,0,17.25
22,De'Aaron FoxSAC,PG,42,34.6,23.8,8.6,18.4,47.0,1.8,5.5,32.5,4.7,6.9,68.6,3.4,7.4,1.3,0.4,3.2,10,0,19.38
23,Shai Gilgeous-AlexanderOKC,SG,35,33.7,23.7,8.2,16.1,50.8,2.0,4.9,41.8,5.3,6.5,80.8,4.7,5.9,0.8,0.7,3.0,3,0,21.97
24,Jerami GrantDET,SF,39,35.7,23.3,7.6,17.8,42.7,2.4,6.7,35.4,5.7,6.5,87.4,5.0,2.8,0.7,1.1,2.0,3,0,17.37
25,Julius RandleNY,PF,44,37.1,23.3,8.3,17.6,47.2,2.0,4.7,42.8,4.6,5.8,79.0,10.9,5.9,0.9,0.2,3.3,28,3,20.57
